time1	obser
1974.166992	2.813852787
1974.416992	2.736842155
1974.666992	3.073770523
1974.916992	2.982107401
1975.166992	1.930501938
1975.416992	1.325757623
1975.666992	2.242990732
1975.916992	1.645338178
1976.166992	0.899280608
1976.416992	1.247771859
1976.666992	1.584506989
1976.916992	1.039861441
1977.166992	2.058319092
1977.416992	1.848739505
1977.666992	1.485148549
1977.916992	1.13821137
1978.166992	1.607717037
1978.416992	2.689873457
1978.666992	2.311248064
1978.916992	1.957831264
1979.166992	2.658788681
1979.416992	3.453237295
1979.666992	3.477051497
1979.916992	2.688172102
1980.166992	3.926701546
1980.416992	3.652392864
1980.666992	1.822600245
1980.916992	2.744630098
1981.166992	2.787456512
1981.416992	2.033898354
1981.666992	2.768549204
1981.916992	1.400862098
1982.166992	0.956429303
1982.416992	1.263157845
1982.666992	2.079002142
1982.916992	0.203666002
1983.166992	-0.304877996
1983.416992	1.427115202
1983.666992	1.005025148
1983.916992	0.696517408
1984.166992	0.592885375
1984.416992	0.687622786
1984.666992	1.658536553
1984.916992	0.479846388
1985.166992	0.668576896
1985.416992	1.233396649
1985.666992	0.562324286
1985.916992	0.931966424
1986.166992	0.184672207
1986.416992	-0.552995384
1986.666992	0.648748815
1986.916992	0.552486181
1987.166992	1.190476179
1987.416992	1.26696825
1987.666992	1.25111711
1987.916992	0.882612526
1988.166992	0.349956304
1988.416992	1.307759404
1988.666992	1.290877819
1988.916992	1.104503036
1989.166992	1.00840342
1989.416992	1.91347754
1989.666992	0.571428597
1989.916992	0.974026024
1990.166992	1.607717037
1990.416992	0.870253205
1990.666992	1.882352948
1990.916992	1.770592809
1991.166992	0.453857809
1991.416992	0.753012002
1991.666992	0.597907305
1991.916992	0.891530514
1992.166992	0.441826195
1992.416992	0.879765391
1992.666992	0.872093022
1992.916992	0.720461071
1993.166992	0.643776774
1993.416992	0.852878511
1993.666992	0.352360815
1993.916992	0.702247202
1994.166992	0.418410003
1994.416992	0.625
1994.666992	1.104209781
1994.916992	0.546075106
1995.166992	0.678886592
