time3	5%ile	95%ile	15%ile	85%ile	25%ile	75%ile	35%ile	65%ile	45%ile	55%ile
2003.416992	-0.335545033	2.481856108	0.196218193	1.971096992	0.507668793	1.655225039	0.766427994	1.411563039	0.979524672	1.193685293
2003.666992	-0.324213833	2.485656977	0.193729699	1.981608033	0.503195286	1.669698	0.753855288	1.40576601	0.97760278	1.186163902
2003.916992	-0.304058492	2.491883993	0.204719499	1.992015004	0.504572928	1.679690003	0.752289772	1.414307952	0.975004494	1.189330697
2004.166992	-0.292190939	2.494858027	0.207233503	1.993842959	0.508562326	1.685431004	0.764765799	1.429466963	0.995666623	1.217643976
2004.416992	-0.29404369	2.498778105	0.204777196	1.974104047	0.517369688	1.676166058	0.765187323	1.427559018	0.993272305	1.199813485
2004.666992	-0.302505165	2.509718895	0.212503299	1.967447042	0.508549571	1.647523046	0.754421294	1.41464901	0.975297213	1.192770958
2004.916992	-0.291200191	2.487498999	0.212501094	1.96459496	0.523599982	1.657420993	0.763342977	1.418555021	0.974897206	1.195160985
2005.166992	-0.2724635	2.482600927	0.228833094	1.950492024	0.523643494	1.650532007	0.753881097	1.402618051	0.976344824	1.185842991
2005.416992	-0.331578106	2.508517981	0.208381295	1.959898949	0.513254583	1.653602004	0.760590792	1.406499028	0.988332212	1.192348003
2005.666992	-0.294075906	2.491842985	0.199725106	1.943685055	0.499921501	1.645632982	0.75172478	1.397541046	0.975619972	1.192291021
2005.916992	-0.3078174	2.47718811	0.192637295	1.96321106	0.501035094	1.640743017	0.740562797	1.401321054	0.959709823	1.183189034
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
