caldt	vwretd	time
20010104	-0.01083281	255
20010105	-0.02649803	256
20010108	-0.001743371	257
20010109	0.00421284	258
20010110	0.009430459	259
20010111	0.01006189	260
20010112	-0.006356068	261
20010116	0.00634237	262
20010117	0.002227438	263
20010118	0.01417713	264
20010119	-0.00407944	265
20010122	0.00024956	266
20010123	0.01316469	267
20010124	0.002860311	268
20010125	-0.005010169	269
20010126	-0.001777855	270
20010129	0.006743955	271
20010130	0.007072876	272
20010131	-0.005564025	273
20010201	0.005641627	274
20010202	-0.0176151	275
20010205	0.003430596	276
20010206	-0.001314925	277
20010207	-0.008353427	278
20010208	-0.006218808	279
20010209	-0.01382773	280
20010212	0.01216494	281
20010213	-0.008523054	282
20010214	-0.001915779	283
20010215	0.008370866	284
20010216	-0.01895141	285
20010220	-0.01732272	286
20010221	-0.01847626	287
20010222	-0.001937361	288
20010223	-0.00554153	289
20010226	0.01756947	290
20010227	-0.007494609	291
20010228	-0.01391067	292
20010301	0.000950876	293
20010302	-0.005883077	294
20010305	0.006095438	295
20010306	0.01018226	296
20010307	0.00659999	297
20010308	0.002198931	298
20010309	-0.02500301	299
20010312	-0.04326767	300
20010313	0.01549893	301
20010314	-0.02597309	302
20010315	0.005745358	303
20010316	-0.01958168	304
20010319	0.01767249	305
20010320	-0.02423844	306
20010321	-0.01776819	307
20010322	-0.003703056	308
20010323	0.01993791	309
20010326	0.01111537	310
20010327	0.02553254	311
20010328	-0.02425326	312
20010329	-0.004598321	313
20010330	0.01071627	314
20010402	-0.01255495	315
20010403	-0.03433599	316
20010404	-0.002878423	317
20010405	0.04395056	318
20010406	-0.02012845	319
20010409	0.007955901	320
20010410	0.02734995	321
20010411	-0.002082751	322
20010412	0.01512339	323
20010416	-0.003364696	324
20010417	0.01040518	325
20010418	0.03943165	326
20010419	0.01292358	327
20010420	-0.008767317	328
20010423	-0.01520382	329
20010424	-0.01222199	330
20010425	0.01605152	331
20010426	0.004908764	332
20010427	0.0150739	333
20010430	-0.002888808	334
20010501	0.013674	335
20010502	0.000973943	336
20010503	-0.01465858	337
20010504	0.01448334	338
20010507	-0.002509736	339
20010508	-0.001639922	340
20010509	-0.004563629	341
20010510	-0.000068254	342
20010511	-0.007463129	343
20010514	0.002739364	344
20010515	0.000308251	345
20010516	0.02874552	346
20010517	0.002770228	347
20010518	0.002577582	348
20010521	0.01630915	349
20010522	-0.002536194	350
20010523	-0.01545427	351
20010524	0.003259226	352
20010525	-0.01188276	353
20010529	-0.007819943	354
20010530	-0.01545899	355
20010531	0.006313499	356
20010601	0.003933862	357
20010604	0.005027235	358
20010605	0.01307933	359
20010606	-0.0102518	360
20010607	0.005417419	361
20010608	-0.009406505	362
20010611	-0.008435652	363
20010612	0.001053475	364
20010613	-0.01113847	365
20010614	-0.0175722	366
20010615	-0.004608807	367
20010618	-0.0047017	368
20010619	0.003502887	369
20010620	0.008789871	370
20010621	0.01157385	371
20010622	-0.009657743	372
20010625	-0.005569341	373
20010626	-0.00151543	374
20010627	-0.00442951	375
20010628	0.01284397	376
20010629	-0.001876713	377
20010702	0.01025406	378
20010703	-0.001438269	379
20010705	-0.01237713	380
20010706	-0.02332534	381
20010709	0.00684444	382
20010710	-0.01417539	383
20010711	-0.00106258	384
20010712	0.02383641	385
20010713	0.006271573	386
20010716	-0.01090102	387
20010717	0.01010447	388
20010718	-0.005215115	389
20010719	0.00587184	390
20010720	-0.003575105	391
20010723	-0.01641754	392
20010724	-0.01626768	393
20010725	0.01590809	394
20010726	0.0103673	395
20010727	0.002470255	396
20010730	-0.001048899	397
20010731	0.005558383	398
20010801	0.003953371	399
20010802	0.004192403	400
20010803	-0.004965387	401
20010806	-0.0114281	402
20010807	0.003410321	403
20010808	-0.0172204	404
20010809	9.62189E-05	405
20010810	0.005648971	406
20010813	0.001013491	407
20010814	-0.00384809	408
20010815	-0.007184128	409
20010816	0.003005391	410
20010817	-0.01653058	411
20010820	0.008181737	412
20010821	-0.01221653	413
20010822	0.007011671	414
20010823	-0.002916591	415
20010824	0.01962417	416
20010827	-0.004760326	417
20010828	-0.01504154	418
20010829	-0.01119307	419
20010830	-0.01700482	420
20010831	0.004176593	421
20010904	-0.000587529	422
20010905	-0.000843555	423
20010906	-0.02237623	424
20010907	-0.01855655	425
20010910	0.006274846	426
20010917	-0.04882143	427
20010918	-0.005660258	428
20010919	-0.01582128	429
20010920	-0.03065391	430
20010921	-0.0193255	431
20010924	0.0390909	432
20010925	0.008683137	433
20010926	-0.0047961	434
20010927	0.01118208	435
20010928	0.02177955	436
20011001	-0.00203768	437
20011002	0.01211634	438
20011003	0.02031816	439
20011004	-0.002690611	440
20011005	0.001939198	441
20011008	-0.008235992	442
20011009	-0.005362056	443
