DATE	EXHKUS	LAGEXHK
19-Dec-05	7.7516	7.7518
20-Dec-05	7.7518	7.7516
21-Dec-05	7.7520	7.7518
22-Dec-05	7.7523	7.7520
23-Dec-05	7.7525	7.7523
27-Dec-05	7.7528	7.7525
28-Dec-05	7.7525	7.7528
29-Dec-05	7.7531	7.7525
30-Dec-05	7.7533	7.7531
3-Jan-06	7.7535	7.7533
4-Jan-06	7.7533	7.7535
5-Jan-06	7.7534	7.7533
6-Jan-06	7.7531	7.7534
9-Jan-06	7.7507	7.7531
10-Jan-06	7.7506	7.7507
11-Jan-06	7.7509	7.7506
12-Jan-06	7.7511	7.7509
13-Jan-06	7.7513	7.7511
17-Jan-06	7.7535	7.7513
18-Jan-06	7.7533	7.7535
19-Jan-06	7.7535	7.7533
20-Jan-06	7.7545	7.7535
23-Jan-06	7.7541	7.7545
24-Jan-06	7.7554	7.7541
25-Jan-06	7.7566	7.7554
26-Jan-06	7.7561	7.7566
27-Jan-06	7.7565	7.7561
30-Jan-06	7.7571	7.7565
31-Jan-06	7.7561	7.7571
1-Feb-06	7.7569	7.7561
2-Feb-06	7.7564	7.7569
3-Feb-06	7.7570	7.7564
6-Feb-06	7.7579	7.7570
7-Feb-06	7.7590	7.7579
8-Feb-06	7.7618	7.7590
9-Feb-06	7.7613	7.7618
10-Feb-06	7.7590	7.7613
13-Feb-06	7.7594	7.7590
14-Feb-06	7.7604	7.7594
15-Feb-06	7.7612	7.7604
16-Feb-06	7.7603	7.7612
17-Feb-06	7.7604	7.7603
21-Feb-06	7.7610	7.7604
22-Feb-06	7.7611	7.7610
23-Feb-06	7.7587	7.7611
24-Feb-06	7.7580	7.7587
27-Feb-06	7.7580	7.7580
28-Feb-06	7.7584	7.7580
1-Mar-06	7.7574	7.7584
2-Mar-06	7.7574	7.7574
3-Mar-06	7.7587	7.7574
6-Mar-06	7.7587	7.7587
7-Mar-06	7.7607	7.7587
8-Mar-06	7.7609	7.7607
9-Mar-06	7.7608	7.7609
10-Mar-06	7.7620	7.7608
13-Mar-06	7.7590	7.7620
14-Mar-06	7.7578	7.7590
15-Mar-06	7.7583	7.7578
16-Mar-06	7.7570	7.7583
17-Mar-06	7.7573	7.7570
20-Mar-06	7.7585	7.7573
21-Mar-06	7.7594	7.7585
22-Mar-06	7.7599	7.7594
23-Mar-06	7.7591	7.7599
24-Mar-06	7.7591	7.7591
27-Mar-06	7.7590	7.7591
28-Mar-06	7.7590	7.7590
29-Mar-06	7.7598	7.7590
30-Mar-06	7.7595	7.7598
31-Mar-06	7.7597	7.7595
3-Apr-06	7.7598	7.7597
4-Apr-06	7.7591	7.7598
5-Apr-06	7.7589	7.7591
6-Apr-06	7.7579	7.7589
7-Apr-06	7.7557	7.7579
10-Apr-06	7.7564	7.7557
11-Apr-06	7.7589	7.7564
12-Apr-06	7.7582	7.7589
13-Apr-06	7.7575	7.7582
14-Apr-06	7.7569	7.7575
17-Apr-06	7.7565	7.7569
18-Apr-06	7.7556	7.7565
19-Apr-06	7.7539	7.7556
20-Apr-06	7.7544	7.7539
21-Apr-06	7.7542	7.7544
24-Apr-06	7.7530	7.7542
25-Apr-06	7.7537	7.7530
26-Apr-06	7.7548	7.7537
27-Apr-06	7.7544	7.7548
28-Apr-06	7.7529	7.7544
1-May-06	7.7527	7.7529
2-May-06	7.7536	7.7527
3-May-06	7.7526	7.7536
4-May-06	7.7521	7.7526
5-May-06	7.7518	7.7521
8-May-06	7.7510	7.7518
9-May-06	7.7517	7.7510
10-May-06	7.7517	7.7517
11-May-06	7.7526	7.7517
12-May-06	7.7532	7.7526
15-May-06	7.7531	7.7532
16-May-06	7.7531	7.7531
17-May-06	7.7534	7.7531
18-May-06	7.7541	7.7534
19-May-06	7.7554	7.7541
22-May-06	7.7537	7.7554
23-May-06	7.7553	7.7537
24-May-06	7.7559	7.7553
25-May-06	7.7567	7.7559
26-May-06	7.7562	7.7567
30-May-06	7.7575	7.7562
31-May-06	7.7567	7.7575
1-Jun-06	7.7578	7.7567
2-Jun-06	7.7581	7.7578
5-Jun-06	7.7586	7.7581
6-Jun-06	7.7596	7.7586
7-Jun-06	7.7617	7.7596
8-Jun-06	7.7619	7.7617
9-Jun-06	7.7611	7.7619
12-Jun-06	7.7607	7.7611
13-Jun-06	7.7624	7.7607
14-Jun-06	7.7621	7.7624
15-Jun-06	7.7617	7.7621
16-Jun-06	7.7643	7.7617
19-Jun-06	7.7660	7.7643
20-Jun-06	7.7666	7.7660
21-Jun-06	7.7665	7.7666
22-Jun-06	7.7660	7.7665
23-Jun-06	7.7684	7.7660
26-Jun-06	7.7675	7.7684
27-Jun-06	7.7661	7.7675
28-Jun-06	7.7678	7.7661
29-Jun-06	7.7675	7.7678
30-Jun-06	7.7666	7.7675
3-Jul-06	7.7670	7.7666
5-Jul-06	7.7715	7.7670
6-Jul-06	7.7709	7.7715
7-Jul-06	7.7682	7.7709
10-Jul-06	7.7707	7.7682
11-Jul-06	7.7730	7.7707
12-Jul-06	7.7759	7.7730
13-Jul-06	7.7754	7.7759
14-Jul-06	7.7753	7.7754
17-Jul-06	7.7751	7.7753
18-Jul-06	7.7740	7.7751
19-Jul-06	7.7756	7.7740
20-Jul-06	7.7756	7.7756
21-Jul-06	7.7754	7.7756
24-Jul-06	7.7773	7.7754
25-Jul-06	7.7775	7.7773
26-Jul-06	7.7775	7.7775
27-Jul-06	7.7717	7.7775
28-Jul-06	7.7703	7.7717
31-Jul-06	7.7703	7.7703
1-Aug-06	7.7723	7.7703
2-Aug-06	7.7735	7.7723
3-Aug-06	7.7726	7.7735
4-Aug-06	7.7742	7.7726
7-Aug-06	7.7755	7.7742
8-Aug-06	7.7760	7.7755
9-Aug-06	7.7769	7.7760
10-Aug-06	7.7768	7.7769
11-Aug-06	7.7772	7.7768
14-Aug-06	7.7785	7.7772
15-Aug-06	7.7789	7.7785
16-Aug-06	7.7768	7.7789
17-Aug-06	7.7748	7.7768
18-Aug-06	7.7732	7.7748
21-Aug-06	7.7752	7.7732
22-Aug-06	7.7764	7.7752
23-Aug-06	7.7770	7.7764
24-Aug-06	7.7766	7.7770
25-Aug-06	7.7796	7.7766
28-Aug-06	7.7790	7.7796
29-Aug-06	7.7776	7.7790
30-Aug-06	7.7774	7.7776
31-Aug-06	7.7767	7.7774
1-Sep-06	7.7780	7.7767
5-Sep-06	7.7776	7.7780
6-Sep-06	7.7772	7.7776
7-Sep-06	7.7767	7.7772
8-Sep-06	7.7781	7.7767
11-Sep-06	7.7785	7.7781
12-Sep-06	7.7793	7.7785
13-Sep-06	7.7808	7.7793
14-Sep-06	7.7819	7.7808
15-Sep-06	7.7825	7.7819
18-Sep-06	7.7841	7.7825
19-Sep-06	7.7862	7.7841
20-Sep-06	7.7855	7.7862
21-Sep-06	7.7834	7.7855
22-Sep-06	7.7827	7.7834
25-Sep-06	7.7837	7.7827
26-Sep-06	7.7866	7.7837
27-Sep-06	7.7878	7.7866
28-Sep-06	7.7884	7.7878
29-Sep-06	7.7913	7.7884
2-Oct-06	7.7911	7.7913
3-Oct-06	7.7907	7.7911
4-Oct-06	7.7917	7.7907
5-Oct-06	7.7865	7.7917
6-Oct-06	7.7852	7.7865
10-Oct-06	7.7928	7.7852
11-Oct-06	7.7927	7.7928
12-Oct-06	7.7906	7.7927
13-Oct-06	7.7889	7.7906
16-Oct-06	7.7837	7.7889
17-Oct-06	7.7802	7.7837
18-Oct-06	7.7839	7.7802
19-Oct-06	7.7875	7.7839
20-Oct-06	7.7847	7.7875
23-Oct-06	7.7815	7.7847
24-Oct-06	7.7812	7.7815
25-Oct-06	7.7818	7.7812
26-Oct-06	7.7809	7.7818
27-Oct-06	7.7751	7.7809
30-Oct-06	7.7746	7.7751
31-Oct-06	7.7780	7.7746
1-Nov-06	7.7765	7.7780
2-Nov-06	7.7762	7.7765
3-Nov-06	7.7774	7.7762
6-Nov-06	7.7818	7.7774
7-Nov-06	7.7848	7.7818
8-Nov-06	7.7838	7.7848
9-Nov-06	7.7838	7.7838
10-Nov-06	7.7824	7.7838
13-Nov-06	7.7844	7.7824
14-Nov-06	7.7842	7.7844
15-Nov-06	7.7859	7.7842
16-Nov-06	7.7856	7.7859
17-Nov-06	7.7875	7.7856
20-Nov-06	7.7864	7.7875
21-Nov-06	7.7859	7.7864
22-Nov-06	7.7864	7.7859
24-Nov-06	7.7759	7.7864
27-Nov-06	7.7761	7.7759
28-Nov-06	7.7753	7.7761
29-Nov-06	7.7751	7.7753
30-Nov-06	7.7779	7.7751
1-Dec-06	7.7748	7.7779
4-Dec-06	7.7722	7.7748
5-Dec-06	7.7709	7.7722
6-Dec-06	7.7700	7.7709
7-Dec-06	7.7665	7.7700
8-Dec-06	7.7736	7.7665
11-Dec-06	7.7733	7.7736
12-Dec-06	7.7731	7.7733
13-Dec-06	7.7712	7.7731
14-Dec-06	7.7708	7.7712
15-Dec-06	7.7721	7.7708
18-Dec-06	7.7725	7.7721
19-Dec-06	7.7752	7.7725
20-Dec-06	7.7743	7.7752
21-Dec-06	7.7756	7.7743
22-Dec-06	7.7771	7.7756
26-Dec-06	7.7787	7.7771
27-Dec-06	7.7741	7.7787
28-Dec-06	7.7719	7.7741
29-Dec-06	7.7771	7.7719
2-Jan-07	7.7797	7.7771
3-Jan-07	7.7867	7.7797
4-Jan-07	7.7885	7.7867
5-Jan-07	7.7908	7.7885
8-Jan-07	7.7946	7.7908
9-Jan-07	7.7974	7.7946
10-Jan-07	7.7983	7.7974
11-Jan-07	7.7977	7.7983
12-Jan-07	7.7992	7.7977
16-Jan-07	7.8005	7.7992
17-Jan-07	7.8039	7.8005
18-Jan-07	7.8100	7.8039
19-Jan-07	7.8072	7.8100
22-Jan-07	7.7973	7.8072
23-Jan-07	7.7998	7.7973
24-Jan-07	7.8035	7.7998
25-Jan-07	7.8063	7.8035
26-Jan-07	7.8091	7.8063
29-Jan-07	7.8112	7.8091
30-Jan-07	7.8100	7.8112
31-Jan-07	7.8078	7.8100
1-Feb-07	7.8041	7.8078
2-Feb-07	7.8068	7.8041
5-Feb-07	7.8086	7.8068
6-Feb-07	7.8090	7.8086
7-Feb-07	7.8130	7.8090
8-Feb-07	7.8141	7.8130
9-Feb-07	7.8131	7.8141
12-Feb-07	7.8136	7.8131
13-Feb-07	7.8141	7.8136
14-Feb-07	7.8133	7.8141
15-Feb-07	7.8087	7.8133
16-Feb-07	7.8124	7.8087
20-Feb-07	7.8141	7.8124
21-Feb-07	7.8127	7.8141
22-Feb-07	7.8112	7.8127
23-Feb-07	7.8087	7.8112
26-Feb-07	7.8127	7.8087
27-Feb-07	7.8136	7.8127
28-Feb-07	7.8119	7.8136
1-Mar-07	7.8119	7.8119
2-Mar-07	7.8146	7.8119
